CCNumber,Company,Status,Amount,Date
36584611041014,CA Inc.,disputed,6423,31/10/2018
604109178427943,California Resources Corporation,disputed,7216,29/10/2018
3579536715966430,Capital Senior Living Corporation,undisputed,1865,30/10/2018
30522907757188,Care Capital Properties Inc.,disputed,4584,30/10/2018
375248870646330,Carnival Corporation,undisputed,4645,31/10/2018
3576760000000000,Casella Waste Systems Inc.,undisputed,8898,30/10/2018
67712928449740200,Caterpillar Inc.,disputed,8668,29/10/2018
3533770000000000,Cellectar Biosciences Inc.,disputed,7570,29/10/2018
30249178556913,Centennial Resource Development Inc.,disputed,4839,31/10/2018
4913619182917480,Central European Media Enterprises Ltd.,undisputed,3757,30/10/2018
340504228279030,Central Valley Community Bancorp,undisputed,7540,29/10/2018
3587911006206890,Century Aluminum Company,disputed,3025,29/10/2018
3545060513688490,Check-Cap Ltd.,disputed,9463,29/10/2018
3561211638499030,Chimerix Inc.,undisputed,1092,30/10/2018
201579358216927,China Finance Online Co. Limited,undisputed,8981,29/10/2018
4508130402433350,China Life Insurance Company Limited,disputed,6391,30/10/2018
5390235117869800,China Rapid Finance Limited,disputed,7982,31/10/2018
5100132410316850,China TechFaith Wireless Communication Technology Limited,disputed,1879,31/10/2018
4917157834747970,Chunghwa Telecom Co. Ltd.,undisputed,8784,30/10/2018
4905491663960090,Cigna Corporation,undisputed,2421,31/10/2018
604305021874543,Cinedigm Corp,disputed,8177,30/10/2018
3539837705332330,Ciner Resources LP,disputed,8085,29/10/2018
3575918146788340,Citigroup Inc.,undisputed,2440,31/10/2018
3577713501527430,Citigroup Inc.,disputed,9510,31/10/2018
3562531429255430,ClearBridge Energy MLP Fund Inc.,disputed,9627,30/10/2018
3572728285146730,ClearBridge Energy MLP Opportunity Fund Inc.,undisputed,3674,29/10/2018
36748118569278,ClearBridge Large Cap Growth ESG ETF,disputed,8807,30/10/2018
589317467305610000,CM Finance Inc,disputed,4475,29/10/2018
6759997938924500000,CNB Financial Corporation,undisputed,5909,29/10/2018
6759646603454770000,CNO Financial Group Inc.,disputed,9704,31/10/2018
4178554306367010,Coastway Bancorp Inc.,undisputed,2378,29/10/2018
30509392161620,Coeur Mining Inc.,disputed,4904,29/10/2018
4041372411228870,Cohen & Steers Limited Duration Preferred and Income Fund Inc,undisputed,7902,29/10/2018
4175003805153870,Colonial High Income Municipal Trust,disputed,2780,30/10/2018
3573135210823310,Colonial Municipal Income Trust,disputed,3944,30/10/2018
3536074203265370,Colony NorthStar Inc.,undisputed,5103,31/10/2018
5048376877059630,Community Bankers Trust Corporation.,undisputed,4732,31/10/2018
3545596846338060,Community Trust Bancorp Inc.,undisputed,3487,30/10/2018
5100148912932160,ConAgra Brands Inc.,undisputed,7480,30/10/2018
5602249570909750,Concurrent Computer Corporation,undisputed,1721,29/10/2018
3585320000000000,ContraVir Pharmaceuticals Inc,disputed,9318,31/10/2018
5602257006097840,Conyers Park Acquisition Corp.,undisputed,9317,31/10/2018
3536140000000000,Costamare Inc.,undisputed,6161,30/10/2018
5002355612690990,Costco Wholesale Corporation,undisputed,1162,29/10/2018
201523480361664,Crown Crafts Inc.,undisputed,8179,30/10/2018
5423524163886290,Crown Holdings Inc.,undisputed,5045,30/10/2018
67712123451123100,DASAN Zhone Solutions Inc.,disputed,7011,29/10/2018
374622056713919,DaVita Inc.,undisputed,4965,31/10/2018
201747344349371,Del Taco Restaurants Inc.,disputed,1145,29/10/2018
5548495705042340,Delta Natural Gas Company Inc.,disputed,7473,29/10/2018
3538730000000000,DigitalGlobe Inc,disputed,5280,29/10/2018
633110980799929000,DineEquity Inc,disputed,8421,30/10/2018
502076128685849000,DNB Financial Corp,disputed,7898,31/10/2018
4903590088351380,Dynagas LNG Partners LP,undisputed,7941,31/10/2018
3574864093367050,Dynasil Corporation of America,undisputed,2859,30/10/2018
5038890142512780000,Eastman Kodak Company,disputed,3859,29/10/2018
4175003180416130,Eaton Vance Tax Advantaged Dividend Income Fund,disputed,5784,30/10/2018
3580053391673480,eGain Corporation,disputed,8044,29/10/2018
3588602675178190,Electrum Special Acquisition Corporation,disputed,3167,31/10/2018
3545285849006920,Elkhorn Commodity Rotation Strategy ETF,undisputed,6177,30/10/2018
3542580125078110,Emmis Communications Corporation,disputed,4216,30/10/2018
5602247876638700,Employers Holdings Inc,disputed,3534,31/10/2018
4041593348550,EnerNOC Inc.,disputed,1727,31/10/2018
3539717525005160,Enova International Inc.,disputed,7376,30/10/2018
4903518267878090,Entergy New Orleans Inc.,disputed,9040,31/10/2018
3554041316723680,Entravision Communications Corporation,disputed,9496,31/10/2018
5038664938211620,Equity Commonwealth,undisputed,2335,30/10/2018
3531480000000000,Equus Total Return Inc.,undisputed,5142,31/10/2018
3555040493607820,EV Energy Partners L.P.,disputed,6672,30/10/2018
201433489916551,Everspin Technologies Inc.,disputed,1468,30/10/2018
201621876424953,Exact Sciences Corporation,undisputed,5082,29/10/2018
676723079474436000,Extra Space Storage Inc,disputed,9692,30/10/2018
3551878606259720,Exxon Mobil Corporation,disputed,6477,31/10/2018
4905794148323440000,Fate Therapeutics Inc.,undisputed,7373,30/10/2018
3530129015607170,FCB Financial Holdings Inc.,disputed,4704,30/10/2018
4911950284247150000,Federal Agricultural Mortgage Corporation,disputed,5473,30/10/2018
4017953702735,Federated Premier Intermediate Municipal Income Fund,disputed,7786,29/10/2018
3574580028657910,Fifth Third Bancorp,undisputed,2759,29/10/2018
6709001134844100,First Internet Bancorp,undisputed,8710,31/10/2018
5100137305643070,First Midwest Bancorp Inc.,undisputed,4573,29/10/2018
3538934694382810,First Trust Hong Kong AlphaDEX Fund,disputed,9240,30/10/2018
3573446750461060,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index,undisputed,5107,29/10/2018
5553846833180410,Flaherty & Crumrine Preferred Income Fund Incorporated,undisputed,6468,31/10/2018
67639160667097100,FORM Holdings Corp.,disputed,1072,30/10/2018
3541815132302320,Fortress Transportation and Infrastructure Investors LLC,undisputed,6602,30/10/2018
201997015994605,Frank's International N.V.,disputed,5661,29/10/2018
6333296463440950000,Franklin Financial Network Inc.,disputed,7969,31/10/2018
30493376871100,Frequency Electronics Inc.,disputed,7947,29/10/2018
3579296498037750,Fresenius Medical Care Corporation,undisputed,6022,29/10/2018
5396992871768830,Fuwei Films (Holdings) Co. Ltd.,undisputed,8553,30/10/2018
4017958682008410,G1 Therapeutics Inc.,disputed,4321,31/10/2018
676734310458615000,Gabelli Dividend,disputed,8550,29/10/2018
3582914030576110,Gabelli NextShares Trust,undisputed,7804,29/10/2018
604394363009598000,Gap Inc. (The),disputed,9761,30/10/2018
5412585745503150,Gardner Denver Holdings Inc.,undisputed,7088,30/10/2018
4903651435504230000,Garmin Ltd.,disputed,5150,31/10/2018
4026133583005370,GATX Corporation,disputed,6076,30/10/2018
5602213781650120,Getty Realty Corporation,disputed,6812,31/10/2018
3576975992701180,Gibraltar Industries Inc.,undisputed,3488,29/10/2018
3562531051613390,Gilat Satellite Networks Ltd.,disputed,2461,31/10/2018
633110425771284000,Gladstone Investment Corporation,disputed,5422,30/10/2018
3559328487415570,Global Partner Acquisition Corp.,disputed,3984,31/10/2018
5100135484883340,Globus Medical Inc.,undisputed,6118,31/10/2018
5602218252147080,Goldman Sachs BDC Inc.,undisputed,2635,31/10/2018
5314440451306780,Graham Corporation,undisputed,2439,30/10/2018
30177988092441,Gridsum Holding Inc.,undisputed,7165,31/10/2018
3584579898028570,Grifols S.A.,undisputed,2296,30/10/2018
201966067471754,GrubHub Inc.,disputed,9715,30/10/2018
633428547408470000,GTx Inc.,disputed,7419,30/10/2018
3572809925296930,GTY Technology Holdings Inc.,undisputed,7471,30/10/2018
4508058410058760,GTY Technology Holdings Inc.,undisputed,4366,30/10/2018
5100132299775040,GTY Technology Holdings Inc.,undisputed,6105,30/10/2018
4913714737623900,Guidance Software Inc.,undisputed,2775,29/10/2018
6709146527211150000,Haverty Furniture Companies Inc.,undisputed,5172,29/10/2018
3565877140664120,HealthEquity Inc.,undisputed,2256,30/10/2018
3554123160541610,Hecla Mining Company,disputed,6259,29/10/2018
6761285085155450,Hecla Mining Company,undisputed,6703,29/10/2018
36223573391642,Hersha Hospitality Trust,disputed,9482,30/10/2018
5602247778907540,Heska Corporation,undisputed,7431,29/10/2018
6759876377170810,HomeStreet Inc.,undisputed,1352,29/10/2018
201612145320502,Horizon Bancorp (IN),disputed,7492,29/10/2018
5602253730304860000,Houston Wire & Cable Company,undisputed,7266,30/10/2018
3538438591687890,Hudson Pacific Properties Inc.,disputed,4879,31/10/2018
6334882570578250,IDEX Corporation,undisputed,8451,30/10/2018
677186925497484000,IDT Corporation,undisputed,4340,30/10/2018
342074413811581,Image Sensing Systems Inc.,disputed,7817,30/10/2018
3587470000000000,Imax Corporation,disputed,9169,30/10/2018
6709194498055610000,Impinj Inc.,undisputed,7309,30/10/2018
490378305932845000,Independent Bank Group Inc,disputed,6059,30/10/2018
3529948697780680,Inovio Pharmaceuticals Inc.,undisputed,9399,29/10/2018
5893104423979770000,Installed Building Products Inc.,undisputed,3699,31/10/2018
4508618614503490,Internationa Flavors & Fragrances Inc.,undisputed,6717,29/10/2018
201782033285206,International Business Machines Corporation,disputed,4000,31/10/2018
633110584226870000,INTL FCStone Inc.,disputed,5398,30/10/2018
374288578516261,Intrexon Corporation,undisputed,3201,30/10/2018
490313493768071000,InVivo Therapeutics Holdings Corp.,disputed,3038,29/10/2018
5100132903122100,Iron Mountain Incorporated,disputed,1662,31/10/2018
490389115571121000,iStar Financial Inc.,undisputed,8560,31/10/2018
3530348323195380,IZEA Inc.,undisputed,9224,29/10/2018
4405427452378120,J. Jill Inc.,disputed,3385,31/10/2018
5602247771646790,Jewett-Cameron Trading Company,disputed,6934,31/10/2018
3561818078632850,JM Global Holding Company,disputed,6984,29/10/2018
677121644370188000,Jounce Therapeutics Inc.,undisputed,8804,31/10/2018
6762300775990080000,Kellogg Company,disputed,9699,30/10/2018
3576529150931980,Key Tronic Corporation,undisputed,4628,29/10/2018
3553891856041270,Kimco Realty Corporation,undisputed,9234,29/10/2018
5010127920934960,Kinder Morgan Inc.,undisputed,2785,29/10/2018
3540855763311150,Kingold Jewelry Inc.,undisputed,4841,30/10/2018
5048376515301150,Landcadia Holdings Inc.,disputed,3005,29/10/2018
5038870240566870,Lands' End Inc.,disputed,6203,30/10/2018
3529910000000000,Lehman ABS Corporation,undisputed,8275,30/10/2018
3559330000000000,Liberty Global plc,undisputed,7721,30/10/2018
670628329061184000,Liberty Interactive Corporation,undisputed,9263,29/10/2018
343659231792507,Lifeway Foods Inc.,disputed,7110,30/10/2018
3536114053104050,Lincoln Educational Services Corporation,disputed,5520,31/10/2018
5010120000000000,LINE Corporation,undisputed,9347,30/10/2018
5543322295192220,LKQ Corporation,undisputed,9564,31/10/2018
3530000000000000,Lockheed Martin Corporation,undisputed,9333,29/10/2018
5451640000000000,Lonestar Resources US Inc.,disputed,1137,31/10/2018
3533182408782200,Luna Innovations Incorporated,undisputed,1692,31/10/2018
3535375490889030,M I Acquisitions Inc.,undisputed,7021,29/10/2018
374622245079784,M&T Bank Corporation,disputed,6614,29/10/2018
3564126797655880,Magna International Inc.,disputed,9936,31/10/2018
3549853526110140,MagnaChip Semiconductor Corporation,disputed,7192,31/10/2018
3559003706156550,MagneGas Corporation,disputed,5204,31/10/2018
3534592447887890,Maiden Holdings Ltd.,disputed,9538,31/10/2018
560225735190683000,Maiden Holdings Ltd.,undisputed,4769,30/10/2018
3539620181909190,Managed Duration Investment Grade Municipal Fund,disputed,7732,31/10/2018
3536537214895750,Marcus & Millichap Inc.,undisputed,1169,31/10/2018
490341451339820000,Marcus & Millichap Inc.,undisputed,5081,29/10/2018
4026425068187020,Marinus Pharmaceuticals Inc.,disputed,9809,31/10/2018
3561756498356960,Matador Resources Company,disputed,3026,30/10/2018
3554610000000000,McCormick & Company Incorporated,undisputed,3684,31/10/2018
3572860635935950,MDU Resources Group Inc.,disputed,7487,29/10/2018
374232490211346,Medley Capital Corporation,disputed,4295,30/10/2018
4041592051965,MetLife Inc.,undisputed,1323,30/10/2018
3569271756700750,MFS Charter Income Trust,disputed,8348,31/10/2018
5602214406164570000,Micron Technology Inc.,undisputed,4624,29/10/2018
604552904460987,Mid Penn Bancorp,undisputed,6370,29/10/2018
3586680032524760,Miller Industries Inc.,undisputed,9524,31/10/2018
6304288987988750000,Miller Industries Inc.,disputed,2539,31/10/2018
30318034651463,Miller/Howard High Income Equity Fund,undisputed,5559,30/10/2018
201896277277966,Mitcham Industries Inc.,disputed,9869,31/10/2018
3587698518456990,Mondelez International Inc.,disputed,9892,29/10/2018
5448441497854580,Mylan N.V.,undisputed,7689,31/10/2018
3559049182969300,MyoKardia Inc.,disputed,7026,30/10/2018
201566560544949,Nanometrics Incorporated,disputed,5996,30/10/2018
633441235833352000,National Energy Services Reunited Corp.,disputed,8736,30/10/2018
4026587898901130,Natural Grocers by Vitamin Cottage Inc.,disputed,2192,30/10/2018
30458855825729,Nature's Sunshine Products Inc.,undisputed,4070,31/10/2018
67715603904103200,Navient Corporation,disputed,3663,31/10/2018
374622488262758,New Home Company Inc. (The),undisputed,5604,30/10/2018
4913601456008010,Newmont Mining Corporation,disputed,7413,30/10/2018
3534100000000000,NextEra Energy Inc.,undisputed,3226,30/10/2018
3567847056280390,NGL ENERGY PARTNERS LP,undisputed,8907,31/10/2018
6334390000000000,Noble Corporation,undisputed,5786,30/10/2018
6759617309132010,NovoCure Limited,undisputed,5572,29/10/2018
561062749709442000,Nustar GP Holdings LLC,undisputed,3203,31/10/2018
3577030424624540,Nuveen AMT-Free Municipal Value Fund,disputed,2180,29/10/2018
3583755318507780,Nuveen Arizona Quality Municipal Income Fund,disputed,3166,29/10/2018
3560078611086230,Nuveen Energy MLP Total Return Fund,undisputed,5050,31/10/2018
561019050531619000,NXT-ID Inc.,undisputed,7194,29/10/2018
3543894557176510,Omega Flex Inc.,disputed,8551,29/10/2018
3563008635781390,Omnicom Group Inc.,undisputed,4762,29/10/2018
676336089482962000,Oncobiologics Inc.,undisputed,9537,29/10/2018
337941445198913,OpGen Inc.,undisputed,7613,30/10/2018
3561650000000000,OpGen Inc.,disputed,2727,31/10/2018
560224532065272000,OraSure Technologies Inc.,disputed,4604,31/10/2018
3543434289232040,Orbital ATK Inc.,disputed,6708,31/10/2018
4913575382788430,Orbital ATK Inc.,undisputed,6287,30/10/2018
3553841562876420,Orrstown Financial Services Inc,disputed,5694,30/10/2018
3547416898908040,Packaging Corporation of America,undisputed,8959,29/10/2018
5147866886243930,Pan American Silver Corp.,disputed,1651,29/10/2018
4405770000000000,Pandora Media Inc.,disputed,5853,29/10/2018
201798540337868,Peak Resorts Inc.,undisputed,8155,31/10/2018
5020953588984560000,Pebblebrook Hotel Trust,disputed,2299,30/10/2018
5280874544244300,Pegasystems Inc.,undisputed,3031,29/10/2018
5602232228869930,Pembina Pipeline Corp.,undisputed,8385,30/10/2018
3529534172559110,Penn West Petroleum Ltd,disputed,7398,31/10/2018
201671966652146,PennyMac Financial Services Inc.,disputed,5822,31/10/2018
3564388709422360,People's United Financial Inc.,undisputed,5068,30/10/2018
3578574439957470,PhotoMedex Inc.,undisputed,7112,31/10/2018
5100174686070340,Planet Fitness Inc.,undisputed,2206,31/10/2018
3578559532948000,Playa Hotels & Resorts N.V.,undisputed,1761,30/10/2018
3543032820521700,Powell Industries Inc.,undisputed,8786,31/10/2018
5610111351031550000,PowerShares DWA Utilities Momentum Portfolio,disputed,8380,30/10/2018
3572430639648050,PowerShares KBW Property & Casualty Insurance Portfolio,undisputed,1385,31/10/2018
3542529535453830,PowerShares QQQ Trust Series 1,undisputed,7248,29/10/2018
6759239670794390,PPL Capital Funding Inc.,undisputed,9590,29/10/2018
3547942541351280,Premier Financial Bancorp Inc.,disputed,3916,31/10/2018
30248390752755,Prudential Financial Inc.,disputed,2076,31/10/2018
3585186099545080,PS Business Parks Inc.,disputed,9919,29/10/2018
6709310680240150,PTC Inc.,disputed,5204,29/10/2018
3554603827520420,Public Storage,disputed,4835,31/10/2018
5602218680481640,Public Storage,disputed,6505,30/10/2018
5007662904797910,PureFunds ETFx HealthTech ETF,undisputed,2106,29/10/2018
3571140000000000,Putnam High Income Bond Fund,disputed,7157,30/10/2018
5641820862173250000,Putnam Municipal Opportunities Trust,disputed,1755,31/10/2018
374573970768358,Quanta Services Inc.,undisputed,2019,29/10/2018
6333713890601730000,Quantenna Communications Inc.,disputed,8905,30/10/2018
3540762522322860,Quidel Corporation,undisputed,4516,30/10/2018
5128122377448680,Qumu Corporation,undisputed,1875,30/10/2018
3557806155582450,Radcom Ltd.,undisputed,5261,29/10/2018
3561949041551890,Randgold Resources Limited,undisputed,4113,29/10/2018
379227978605428,Recro Pharma Inc.,undisputed,1335,29/10/2018
3552863379293170,Reinsurance Group of America Incorporated,undisputed,6823,31/10/2018
3552348797652770,RELX N.V.,undisputed,2119,31/10/2018
3553729667532180,Rennova Health Inc.,disputed,9611,29/10/2018
3556833244070830,Renren Inc.,disputed,8323,30/10/2018
3528665603208930,RigNet Inc.,disputed,5637,31/10/2018
3580740497679200,Rowan Companies plc,undisputed,7656,29/10/2018
6333011704536670,Royal Bank Scotland plc (The),disputed,2435,30/10/2018
5010122217813070,Sabine Royalty Trust,disputed,6556,31/10/2018
6759325309158480000,Safe Bulkers Inc,undisputed,9304,31/10/2018
3551041918641700,Savara Inc.,undisputed,3557,31/10/2018
30543317561150,Seabridge Gold Inc.,disputed,2505,29/10/2018
347715934227567,SeaChange International Inc.,undisputed,2717,30/10/2018
3568575766014360,SeaSpine Holdings Corporation,undisputed,8821,29/10/2018
3579315646432450,Shenandoah Telecommunications Co,undisputed,2781,31/10/2018
3537728362944130,Signature Bank,disputed,2660,30/10/2018
345850915656716,SilverSun Technologies Inc.,disputed,1158,31/10/2018
6331102342350360000,SL Green Realty Corporation,disputed,1917,31/10/2018
3583667894239510,SM Energy Company,disputed,6973,30/10/2018
3559574663410040,Southcross Energy Partners L.P.,disputed,3468,30/10/2018
3550380000000000,Southern California Edison Company,undisputed,9328,31/10/2018
3532983619480890,Southern Missouri Bancorp Inc.,disputed,4196,31/10/2018
374622692339418,Spring Bank Pharmaceuticals Inc.,disputed,6919,31/10/2018
201625803140160,Stanley Black & Decker Inc.,disputed,6001,30/10/2018
5602227134072710,Steel Partners Holdings LP,disputed,7524,29/10/2018
3571845432426540,Steven Madden Ltd.,undisputed,3633,30/10/2018
5572532378803500,StoneMor Partners L.P.,disputed,7781,29/10/2018
3542385432696370,Suburban Propane Partners L.P.,disputed,7652,30/10/2018
3574938784740550,Summit Hotel Properties Inc.,undisputed,6668,29/10/2018
4508569811969600,Summit Materials Inc.,undisputed,7094,31/10/2018
5100170775779790,Sussex Bancorp,disputed,5090,31/10/2018
3557654270598420,Synthetic Fixed-Income Securities Inc.,undisputed,1871,31/10/2018
6371581135245150,T. Rowe Price Group Inc.,disputed,6827,29/10/2018
374283081003451,Tech Data Corporation,undisputed,6775,31/10/2018
3541510000000000,Tekla Healthcare Opportunies Fund,disputed,2525,30/10/2018
5272534470827960,Tekla Life Sciences Investors,disputed,8617,30/10/2018
5020502492956590000,Tesoro Logistics LP,undisputed,6487,29/10/2018
3529005323859570,Tetra Tech Inc.,undisputed,6222,30/10/2018
3577713754702980,TFS Financial Corporation,disputed,8305,31/10/2018
3535230000000000,The Carlyle Group L.P.,undisputed,6210,31/10/2018
3552387388210960,The Cushing MLP Total Return Fund,disputed,1194,30/10/2018
3551973163553380,The Gabelli Healthcare & Wellness Trust,undisputed,1938,31/10/2018
3565167861534560,The Joint Corp.,undisputed,4627,31/10/2018
3534438678829420,The RMR Group Inc.,disputed,8247,30/10/2018
5100180000000000,The Spectranetics Corporation,disputed,4997,29/10/2018
3537975768279470,The9 Limited,undisputed,7360,30/10/2018
30319147429805,THL Credit Senior Loan Fund,undisputed,9957,30/10/2018
67639098782359600,TICC Capital Corp.,disputed,9181,31/10/2018
5602222797209890,Time Warner Inc.,disputed,7304,29/10/2018
3565116598119680,Tivity Health Inc.,disputed,3419,30/10/2018
3557907331264630,Toll Brothers Inc.,disputed,7122,30/10/2018
3537730000000000,Tortoise MLP Fund Inc.,undisputed,8206,30/10/2018
3541459499494840,Total System Services Inc.,disputed,8164,29/10/2018
3568010326323980,TransAlta Corporation,undisputed,3756,31/10/2018
3547793521566850,Triangle Capital Corporation,undisputed,5116,30/10/2018
3551364577227110,TriplePoint Venture Growth BDC Corp.,undisputed,4124,31/10/2018
3572938683071120,Triumph Group Inc.,undisputed,1709,31/10/2018
3560963669851860,Tsakos Energy Navigation Ltd,disputed,9098,31/10/2018
30266093199231,Two Harbors Investments Corp,undisputed,3234,30/10/2018
5002358609369990,UnitedHealth Group Incorporated,undisputed,2922,30/10/2018
4913226113174740,Universal Corporation,disputed,8454,30/10/2018
5100150000000000,Unum Group,disputed,6293,31/10/2018
633470529198068000,USA Compression Partners LP,disputed,4658,31/10/2018
3579511873800360,Vanguard Russell 2000 Value ETF,disputed,1904,31/10/2018
3580214784508880,Varex Imaging Corporation,disputed,2433,31/10/2018
3581343023955210,Vectren Corporation,undisputed,1957,31/10/2018
30391565769566,Vedanta  Limited,undisputed,6886,30/10/2018
3529677643006870,Veracyte Inc.,disputed,5376,29/10/2018
676792296800319000,VictoryShares Emerging Market Volatility Wtd ETF,undisputed,8710,30/10/2018
3549495175772730,Vident Core U.S. Bond Strategy Fund,disputed,7730,31/10/2018
3533203008619870,ViewRay Inc.,disputed,5489,31/10/2018
4041594619053590,VivoPower International PLC,disputed,9002,30/10/2018
4508873587810520,Waddell & Reed Financial Inc.,undisputed,5596,29/10/2018
6709909494255720000,Welltower Inc.,disputed,3696,30/10/2018
3530439267248510,Wendy's Company (The),disputed,8488,31/10/2018
5602219991192010,WESCO International Inc.,undisputed,4180,30/10/2018
5596287733266640,Westell Technologies Inc.,disputed,2054,29/10/2018
56102506064855800,Western Asset Emerging Markets Debt Fund Inc,undisputed,9599,31/10/2018
374283425662400,Western Asset Mortgage Defined Opportunity Fund Inc,undisputed,6303,29/10/2018
6767267633946130000,Western Asset Variable Rate Strategic Fund Inc.,disputed,4016,30/10/2018
491110910393352000,Willamette Valley Vineyards Inc.,undisputed,2138,31/10/2018
630403677874250000,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,undisputed,4112,30/10/2018
6767979918922120000,WisdomTree Japan Hedged SmallCap Equity Fund,undisputed,1608,31/10/2018
3562742056010930,WMIH Corp.,undisputed,4703,29/10/2018
3551188750606450,Wolverine Bancorp Inc.,undisputed,7993,30/10/2018
5503847959184660,Wolverine World Wide Inc.,disputed,8565,31/10/2018
675972005194552000,Xenia Hotels & Resorts Inc.,undisputed,7627,31/10/2018
3575110000000000,Zions Bancorporation,undisputed,3430,31/10/2018
4026956654945200,Zions Bancorporation,disputed,4904,29/10/2018
6393079120892500,Zions Bancorporation,undisputed,6205,29/10/2018
